manajemen_map_mall_depok
Margocity,-6.3729617,106.8318486
Depok Town Square,-6.3725696,106.8290904
DMall Depok,-6.3871327,106.8247721
ITC Depok,-6.3924856,106.8209539
Ramayana,-6.3917077,106.8222931
